Id,,Package,Quantity,Designation,Designator
1,,C_0603,2,10p,"C8,C7"
2,,Crystal_SMD_SeikoEpson_FA238-4pin_3.2x2.5mm,1,16M,Y1
3,,DIOM5025X231N,10,D,"D9,D1,D3,D5,D7,D11,D13,D15,D19,D20"
4,,CP_Elec_6.3x7.7,2,100u Elko,"C1,C2"
5,,C_0603,7,100n,"C5,C6,C9,C10,C11,C12,C13"
6,,C_0603,1,1u,C14
7,,C_0603,1,10n,C15
8,,SOT-323_SC-70,1,D_TVS_x2_AAC,D17
9,,D_SOD-123,1,D,D18
10,,SAMTEC_SSQ-126-22-G-D,1,OIBUS_104.1_CONN_A,H1
11,,SAMTEC_SSQ-126-22-G-D,1,OIBUS_104.1_CONN_B,H2
12,,MountingHole_3.2mm_M3_DIN965_Pad,4,MountingHole_Pad,"H3,H4,H5,H6"
13,,Pin_Header_Angled_1x06_Pitch2.54mm,1,SWD,J1
14,,Pin_Header_Angled_1x02_Pitch2.54mm,1,UART,J2
15,,SHDR2W80P0X381_1X2_900X920X725P,10,+,"J4,J5,J6,J7,J8,J9,J10,J11,J12,J13"
16,,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,2,SolderJumper_3_Open,"JP1,JP2"
17,,R_0603,1,SolderJumper_2_Open,JP3
18,,L_0805,1,10uH,L1
19,,LED_0603,11,LED,"LED1,LED2,LED3,LED4,LED5,LED6,LED7,LED8,LED9,LED10,LED11"
20,,R_0603,10,4K7,"R1,R3,R5,R7,R9,R11,R13,R15,R28,R29"
21,,R_0603,10,18K,"R2,R4,R6,R8,R10,R12,R14,R16,R30,R31"
22,,R_0603,10,1K5,"R17,R18,R19,R20,R21,R22,R23,R24,R32,R33"
23,,R_1206,2,60,"R25,R26"
24,,R_0603,1,330,R27
25,,SOT95P280X90-6N,10,DMG6402LVT,"T1,T2,T3,T4,T5,T6,T7,T8,T9,T10"
26,,SOT-23-8,1,TCAN330,U9
27,,LQFP-48_7x7mm_P0.5mm,1,STM32F303CCTx,U10
28,,MOLEX_172310-1202,1,"5V - 24V, Molex Ultrafit",J3
29,,R_0603_1608Metric,18,0 OHM,"JP4,JP6,JP7,JP8,JP13,JP14,JP15,JP16,JP21,JP22,JP23,JP24,JP25,JP26,JP27,JP28,JP29,JP17"
30,,R_0603_1608Metric,5,SolderJumper_2_Open,"JP5,JP9,JP10,JP11,JP12"
31,,SOIC127P700X220-4N,10,TLP291,"U1,U2,U3,U4,U5,U6,U7,U8,U11,U12"
32,,Fiducial_1mm_Dia_2mm_Outer,4,Fiducial,"FID1,FID2,FID3,FID4"
33,,D_SOT-23_ANK,10,D_Zener,"D2,D4,D6,D8,D10,D12,D14,D16,D21,D22"
34,,JST_GH_SM04B-GHS-TB_04x1.25mm_Angled,1,UAVCAN JST GH,J14
35,,octanis_instruments_logo,1,LOGO,G***
