Reference,MPN,Quantity,Link,Value,assembly_note
H1,"SSQ-126-22-G-D
",1,https://www.samtec.com/products/ssq-126-22-g-d?utm_medium=referral&utm_source=octopart,OIBUS_104.1_CONN_A,
H2,"SSQ-126-22-G-D
",1,https://www.samtec.com/products/ssq-126-22-g-d?utm_medium=referral&utm_source=octopart,OIBUS_104.1_CONN_B,
U1;U2;U3;U4;U5;U6;U7;U8;U11;U12, TLP291(SE ,10,,TLP291,
R17;R18;R19;R20;R21;R22;R23;R24;R32;R33,RC0603JR-071K5L,10,,1k5,
D3;D1;D7;D5;D11;D9;D15;D13;D20;D19,FM4004-W,10,,D,
LED2;LED1;LED3;LED6;LED5;LED8;LED7;LED11;LED10,"LTST-S270AKT
",9,,LED_yellow,
R3;R1;R7;R5;R11;R9;R15;R13;R29;R28,RC0603JR-073K6L,10,,3k6,
R4;R2;R8;R6;R12;R10;R16;R14;R31;R30,RC0603JR-0718KL,10,,18k,
D4;D2;D8;D6;D12;D10;D16;D14;D22;D21,BZX84C8V2LT1G,10,,D_Zener,
D18,"1N5819HW1-7-F
",1,,1N5819,
C1;C2,"EMVA350ADA101MF80G 
",2,,100u Elko,
J3,172310-1202,1,,"5V - 24V, Molex Ultrafit",
J4;J5;J6;J7;J8;J9;J10;J11;J12;J13,CTBP93HE/2,10,https://www.arrow.com/en/products/ctbp93he2/camdenboss-ltd,+,
T2;T1;T4;T3;T6;T5;T8;T7;T10;T9,"DMG6402LVT-7
",10,,DMG6402LVT,
J14, SM04B-GHS-TB(LF)(SN)- ,1,,UAVCAN JST GH,
LED4,"LTST-S270AKT
",1,,LED_yellow,side-looking towards PCB edge
U10,STM32F303CCT6,1,,STM32F303CCTx,
Y1,FA-238 16.0000MA30X-AG0,1,https://www.arrow.com/en/products/fa-238160000ma30xag0/epson-electronics-america?utm_campaign=octopart_2018&utm_currency=USD&utm_keyword=FA-238%20160000MA30XAG0&utm_medium=aggregator&utm_content=inv_listing&utm_source=octopart,16M,
JP21;JP22;JP23;JP24;JP25;JP26;JP27;JP28;JP16;JP15;JP14;JP13;JP8;JP7;JP6;JP4,"RC0603JR-070RL
",16,,0R,
C11;C12;C13;C6;C10;C5;C9,"885012206095

",7,,100n,
U9,"TCAN330DCNT

",1,,TCAN330,
R25;R26,RC0603FR-0760R4L,2,,60,
D17,"PESD2IVN27-UX
",1,,D_TVS_x2_AAC,
C7;C8,"885012006051

",2,,10p,
C15,"885012206089

",1,,10n,
C14,GCM188R71E105KA64D,1,,1u,
L1,"MLZ2012M100WT000
",1,,10uH,
LED9,"LTST-S270GKT
",1,,LED_green,
R27,"RC0603JR-07330RL
",1,,330,
J1,"68015-206HLF
",1,,SWD,
